iter	RMSE
0	10.726158
1	10.10950751
2	9.578982613
3	9.124335123
4	8.757601081
5	8.430180213
6	8.172435409
7	7.927172228
8	7.724572869
9	7.549939889
10	7.422892989
11	7.322627087
12	7.218122931
13	7.135416985
14	7.069873705
15	7.011808169
16	6.961823404
17	6.92083097
18	6.885195207
19	6.857819954
20	6.830502893
21	6.809031827
22	6.791294678
23	6.77543881
24	6.762503806
25	6.747529741
26	6.735350173
27	6.725152422
28	6.716132034
29	6.707105615
30	6.700419958
31	6.691926608
32	6.681334249
33	6.673003369
34	6.667031168
35	6.657797742
36	6.653246422
37	6.646281533
38	6.640015865
39	6.634177452
40	6.626142802
41	6.614663066
42	6.606035962
43	6.600488631
44	6.595311778
45	6.593071218
46	6.590648912
47	6.583248224
48	6.578444994
49	6.57299897
